Age,Gender,Marital Status,Department,Job Role,Job Level,Monthly Income,Hourly Rate,Years At Company,Years In Current Role,Years Since Last Promotion,Work Life Balance,Job Satisfaction,Performance Rating,Training Hours Last Year,Overtime,Project Count,Average Hours Worked Per Week,Absenteeism,Work Environment Satisfaction,Relationship With Manager,Job Involvement,Distance From Home,Number Of Companies Worked,Attrition
21,Female,Married,HR,Assistant,1,18449,19,3,7,8,3,3,2,92,No,2,38,0,2,2,1,47,4,No
20,Female,Single,Sales,Executive,2,3692,97,14,14,3,4,2,1,52,Yes,2,56,0,4,3,4,7,1,Yes
31,Female,Single,IT,Analyst,4,4478,68,22,8,0,2,5,2,36,Yes,2,30,9,4,4,3,14,3,No
24,Male,Single,IT,Assistant,1,9396,65,19,7,0,1,5,2,22,Yes,2,54,17,1,2,2,48,2,Yes
56,Female,Married,Sales,Manager,3,11448,24,23,6,9,3,3,1,96,Yes,9,46,14,3,2,1,6,1,No
51,Male,Married,HR,Manager,3,13622,26,16,9,4,1,4,3,7,No,5,45,1,4,4,1,34,1,No
28,Female,Married,HR,Assistant,5,19825,18,7,13,1,3,1,1,75,Yes,8,47,16,1,3,3,16,1,No
54,Female,Married,Marketing,Manager,2,13073,32,8,3,5,3,4,4,47,Yes,5,31,7,3,3,2,37,3,Yes
38,Male,Married,Finance,Assistant,3,5646,94,18,11,6,3,4,1,9,No,5,43,8,4,1,1,36,1,No
35,Female,Divorced,Sales,Executive,2,8209,50,25,6,0,4,4,2,78,Yes,1,51,19,2,4,1,46,1,No
22,Male,Single,Sales,Assistant,3,9533,39,13,4,5,2,5,1,23,Yes,6,52,10,1,1,2,6,2,No
39,Male,Single,Sales,Executive,5,10211,90,21,2,7,1,1,3,89,Yes,4,56,5,4,3,1,8,1,No
43,Female,Single,HR,Analyst,4,12927,50,9,1,4,2,4,2,46,Yes,3,46,13,1,2,2,24,3,Yes
52,Male,Single,Finance,Assistant,5,14927,81,10,12,6,3,3,4,52,No,6,32,0,1,1,3,3,2,No
43,Female,Single,Marketing,Analyst,1,12316,23,21,12,9,3,5,3,38,No,2,31,6,1,3,1,4,4,No
30,Female,Single,IT,Manager,3,15177,75,23,14,5,2,3,2,66,Yes,8,37,8,2,3,3,32,2,No
27,Male,Single,IT,Executive,1,13846,67,27,1,3,2,3,4,65,No,1,54,10,3,2,2,1,1,No
55,Male,Single,Sales,Assistant,1,10933,32,9,11,6,1,4,3,5,Yes,9,58,15,3,4,3,34,4,No
57,Male,Divorced,Finance,Analyst,2,8476,57,15,10,9,3,3,4,20,Yes,8,31,18,4,3,3,45,2,No
59,Male,Single,HR,Executive,3,16853,49,20,3,8,2,1,1,72,Yes,1,31,1,2,1,3,9,1,No
39,Female,Divorced,Finance,Executive,1,10928,77,2,4,9,4,3,1,73,No,9,55,14,3,2,4,12,2,No
54,Female,Married,Finance,Manager,4,5080,92,25,2,9,3,4,4,35,No,2,38,2,4,4,2,10,3,No
44,Male,Single,HR,Manager,1,9089,18,13,13,6,3,3,1,2,No,3,59,3,4,4,2,10,1,No
54,Female,Married,Sales,Executive,4,10797,55,2,12,4,1,5,4,87,No,2,49,19,1,4,2,44,3,No
44,Female,Married,Finance,Executive,2,11346,59,19,11,6,4,5,3,85,No,8,50,6,2,3,2,48,1,No
48,Female,Married,IT,Assistant,1,3904,64,26,11,2,1,5,2,77,No,2,58,11,3,4,2,23,3,No
37,Female,Divorced,HR,Executive,5,19788,93,2,14,1,4,2,4,41,Yes,2,56,3,2,3,1,6,4,No
37,Male,Married,Marketing,Assistant,2,12974,42,3,11,4,1,5,2,44,No,1,54,9,2,2,1,24,3,No
21,Male,Married,Sales,Executive,4,4184,56,6,1,3,4,5,2,43,Yes,7,35,5,3,2,1,24,2,No
54,Female,Married,HR,Manager,2,4725,94,3,4,4,4,2,4,90,Yes,2,55,13,3,4,3,21,1,No
35,Male,Single,Marketing,Assistant,1,14380,90,10,7,7,4,5,1,32,No,5,41,2,2,2,3,42,2,No
55,Male,Single,Marketing,Analyst,3,16057,83,24,10,3,2,4,3,59,Yes,5,54,16,4,1,2,31,3,No
52,Male,Divorced,Finance,Manager,3,8606,15,27,11,8,3,5,2,85,Yes,3,38,10,2,1,4,47,1,No
23,Female,Divorced,Finance,Assistant,4,6956,53,6,6,6,4,5,3,92,Yes,3,36,9,3,3,2,41,3,No
52,Female,Single,Finance,Assistant,4,19555,31,23,6,9,2,2,2,82,No,3,59,9,2,4,1,30,4,Yes
33,Female,Divorced,HR,Analyst,3,19081,49,16,11,6,2,4,4,82,No,6,41,9,3,3,2,34,4,No
40,Male,Single,HR,Assistant,4,3421,60,17,9,7,1,3,1,69,Yes,4,55,2,4,2,3,18,4,Yes
39,Female,Married,Sales,Executive,2,8540,56,19,14,5,3,1,3,82,No,3,54,14,2,4,2,12,3,No
27,Female,Married,Finance,Analyst,5,19288,53,3,2,7,3,4,2,76,Yes,2,34,16,4,3,1,35,3,No
26,Male,Divorced,Marketing,Manager,5,18966,63,18,4,2,1,3,4,25,No,3,45,17,2,4,2,7,4,Yes
22,Female,Single,IT,Manager,2,18882,76,7,5,9,3,4,4,85,Yes,4,34,18,2,4,3,41,3,No
36,Female,Single,Sales,Executive,5,7675,52,9,1,9,1,3,2,20,Yes,6,41,18,3,3,4,40,2,No
52,Male,Divorced,HR,Manager,1,12082,37,20,8,0,2,3,2,99,No,4,53,11,1,4,1,25,3,No
31,Male,Single,Sales,Assistant,2,16009,36,12,8,5,2,4,2,1,No,8,55,4,3,2,2,6,2,No
41,Male,Married,Sales,Assistant,4,9748,18,5,6,0,4,2,1,46,No,3,49,15,2,1,3,1,4,No
41,Female,Divorced,Sales,Executive,2,9103,63,3,12,8,1,4,2,29,No,3,38,14,1,1,1,46,3,No
49,Female,Divorced,Sales,Manager,3,14348,73,11,5,1,2,4,2,26,No,3,52,14,1,4,1,16,4,No
57,Female,Single,IT,Manager,4,12782,87,25,8,1,2,3,1,70,Yes,8,36,5,4,1,3,48,1,No
57,Male,Divorced,Finance,Executive,3,8882,82,4,3,6,1,1,4,19,Yes,4,58,11,2,4,2,4,3,No
27,Male,Single,Marketing,Analyst,4,8798,85,5,3,1,2,3,2,49,Yes,1,48,1,3,3,2,29,3,No
46,Female,Single,Sales,Manager,5,12627,16,1,2,9,3,5,3,94,No,2,49,19,1,2,2,38,4,No
46,Female,Single,Sales,Analyst,2,11415,63,27,5,7,2,4,4,22,No,2,52,8,1,1,1,47,4,No
53,Male,Single,Sales,Manager,1,15466,45,28,3,5,1,4,3,12,Yes,3,40,3,3,3,4,28,4,No
40,Male,Single,Finance,Manager,4,12846,54,29,3,6,3,2,2,80,Yes,6,56,4,3,2,1,22,1,No
49,Male,Divorced,HR,Manager,4,15720,62,18,6,6,3,3,1,3,Yes,8,59,7,1,1,2,8,1,No
52,Male,Married,HR,Manager,3,12145,65,12,8,5,2,2,1,13,Yes,1,50,9,3,1,1,32,4,Yes
47,Female,Married,IT,Assistant,5,7524,57,13,2,9,4,4,1,19,No,9,41,6,4,2,4,33,3,No
52,Male,Divorced,HR,Analyst,3,9559,69,9,4,8,3,3,2,12,Yes,1,32,13,1,3,1,13,3,No
24,Female,Divorced,Sales,Analyst,3,10620,63,2,11,8,1,3,2,2,No,2,46,4,4,3,3,27,4,No
38,Female,Married,Sales,Manager,5,6124,94,5,7,6,4,5,3,89,Yes,3,36,15,2,1,2,18,2,No
23,Female,Married,Sales,Manager,1,11671,71,13,1,8,4,5,1,89,No,7,51,14,4,2,2,18,1,Yes
54,Male,Married,IT,Analyst,3,14706,91,16,1,9,3,1,2,81,No,9,39,4,3,3,2,13,1,Yes
36,Male,Married,Sales,Assistant,3,15070,29,16,12,2,2,5,4,95,No,3,52,2,1,2,1,22,2,No
47,Male,Married,HR,Executive,4,11134,41,24,13,2,4,3,2,77,No,8,44,9,4,2,1,14,4,No
49,Male,Single,Finance,Executive,5,3924,82,3,10,0,2,5,2,46,Yes,9,59,4,3,1,1,11,3,No
48,Female,Divorced,Finance,Analyst,2,8506,94,22,7,4,3,1,4,2,Yes,7,31,14,3,2,2,39,3,No
25,Male,Single,Marketing,Manager,1,16650,78,4,14,3,1,4,1,0,Yes,4,42,17,4,2,1,22,1,No
54,Male,Married,HR,Manager,1,5395,44,11,7,1,4,5,4,89,No,4,57,7,1,4,2,36,2,No
56,Female,Married,Sales,Assistant,5,18310,50,23,1,8,1,3,1,23,Yes,4,33,1,4,2,1,17,3,No
43,Male,Married,Finance,Executive,4,11226,81,26,1,2,2,4,4,34,Yes,6,47,7,2,3,2,32,1,No
48,Female,Single,HR,Assistant,4,14781,63,14,4,7,2,3,3,13,Yes,4,53,7,4,1,3,14,3,No
50,Female,Single,Finance,Executive,5,8515,90,29,5,5,1,4,1,66,No,5,52,3,4,1,1,42,3,Yes
54,Female,Married,Sales,Analyst,4,6365,69,3,5,4,3,3,2,12,No,9,30,18,1,2,2,29,3,No
52,Female,Single,Finance,Executive,1,19972,99,16,4,0,3,5,3,46,No,7,31,17,4,2,3,6,1,No
40,Female,Single,Marketing,Assistant,1,14410,70,22,8,3,4,5,1,49,Yes,8,31,0,3,3,3,4,2,No
51,Female,Married,Marketing,Assistant,2,12095,82,15,7,2,4,1,1,77,Yes,5,33,19,1,4,4,11,4,No
42,Female,Single,Finance,Assistant,5,13361,58,28,9,0,3,4,1,84,Yes,5,32,14,3,1,1,45,2,No
52,Female,Divorced,HR,Analyst,3,11531,45,10,7,4,3,1,4,25,No,7,46,17,1,4,2,40,3,Yes
22,Male,Divorced,HR,Executive,3,7270,72,9,10,5,1,2,1,2,Yes,8,57,11,2,3,4,10,2,Yes
37,Male,Divorced,HR,Executive,2,12906,67,11,1,1,2,5,2,50,No,9,43,0,2,1,1,28,3,No
44,Male,Divorced,Finance,Assistant,2,19940,98,16,13,2,2,4,1,39,No,2,31,6,2,3,3,11,1,No
50,Male,Married,HR,Executive,4,14279,93,10,14,5,4,1,2,67,No,3,45,18,4,2,1,35,1,No
22,Female,Married,Sales,Manager,2,8452,37,17,7,3,3,1,2,35,No,2,40,0,2,3,2,15,1,No
59,Male,Married,Marketing,Manager,2,9477,42,19,1,8,1,2,2,50,Yes,7,54,6,1,2,3,8,3,No
43,Female,Divorced,Sales,Manager,3,9470,30,2,7,4,4,1,3,0,Yes,2,42,1,2,4,4,20,2,No
51,Male,Divorced,HR,Executive,4,5062,51,24,10,3,1,3,2,32,No,2,30,6,1,1,1,21,4,No
41,Male,Single,Sales,Analyst,2,12030,35,23,8,1,3,5,4,6,Yes,2,54,18,3,1,1,1,4,Yes
42,Male,Single,HR,Analyst,2,4813,93,2,11,5,3,1,1,51,No,4,52,12,4,4,4,29,1,Yes
21,Female,Divorced,Finance,Analyst,4,14671,31,6,9,9,3,1,4,10,Yes,1,31,4,3,2,1,24,4,No
46,Male,Divorced,Sales,Analyst,5,17308,51,19,12,1,2,2,3,26,Yes,2,31,18,3,1,1,30,3,No
21,Female,Divorced,Finance,Manager,4,5313,91,8,3,6,3,3,1,13,No,3,50,0,2,3,1,40,2,No
45,Female,Divorced,Finance,Manager,3,12706,33,26,4,2,4,1,2,85,No,7,58,0,2,2,3,35,4,No
36,Male,Single,IT,Assistant,5,12837,44,29,4,8,2,5,1,79,No,1,34,17,2,1,3,33,4,No
59,Male,Divorced,HR,Executive,1,8831,59,3,12,4,1,5,3,45,No,6,33,0,3,3,2,20,2,No
52,Male,Single,Marketing,Executive,4,7056,32,26,9,7,4,1,3,75,Yes,3,41,4,4,3,1,16,4,No
28,Female,Divorced,HR,Analyst,3,3305,92,14,13,5,4,3,4,9,No,3,55,8,4,1,2,9,2,Yes
58,Male,Divorced,Marketing,Manager,5,17347,76,25,7,9,1,5,1,23,Yes,4,55,11,3,4,3,31,3,Yes
48,Female,Divorced,HR,Analyst,4,4689,50,16,3,7,2,5,1,60,No,4,58,8,4,4,1,17,3,No
45,Female,Single,Finance,Assistant,2,6917,98,1,10,2,4,3,1,17,Yes,7,57,17,3,1,2,31,3,No
54,Male,Single,Sales,Executive,4,5936,66,21,5,2,4,3,4,85,No,3,32,10,3,3,1,48,1,Yes
44,Male,Married,Sales,Executive,1,6862,33,3,7,4,4,1,3,8,Yes,8,49,0,4,4,1,23,3,Yes
43,Female,Divorced,IT,Analyst,4,17506,58,22,8,9,2,4,2,16,Yes,8,39,18,1,4,4,6,4,No
32,Female,Married,Marketing,Assistant,5,17318,21,26,1,2,2,2,1,57,Yes,7,49,9,1,4,2,30,1,No
26,Female,Married,Marketing,Executive,5,18300,58,18,12,7,2,4,4,12,No,2,47,1,2,2,3,7,1,No
55,Male,Single,Marketing,Assistant,4,8649,82,9,2,9,4,4,4,49,No,5,50,6,4,4,2,48,1,Yes
39,Female,Single,Finance,Assistant,5,18674,48,6,7,7,3,5,2,5,No,6,50,19,2,1,2,40,3,No
20,Male,Married,Marketing,Analyst,2,8560,80,23,11,1,1,3,3,84,No,4,50,1,3,1,2,42,1,No
27,Female,Divorced,Sales,Manager,4,18451,83,21,13,3,3,5,1,50,Yes,5,56,18,1,2,4,46,3,No
35,Female,Single,Finance,Analyst,2,4079,69,25,14,9,2,2,1,35,Yes,9,56,5,4,2,1,11,3,No
33,Male,Divorced,HR,Manager,2,16983,24,1,13,0,4,1,4,70,Yes,7,39,9,4,1,3,34,1,No
31,Female,Divorced,Marketing,Assistant,3,18327,56,21,2,3,4,2,3,99,No,2,30,8,4,2,4,12,1,No
42,Male,Married,Marketing,Manager,4,15755,55,27,7,3,3,5,1,24,Yes,1,35,7,1,4,3,45,4,No
34,Male,Married,HR,Assistant,5,10235,91,10,9,9,3,5,2,10,Yes,2,40,10,2,3,4,47,1,No
47,Female,Married,Marketing,Executive,2,5031,83,27,11,8,1,5,3,43,No,3,31,8,1,3,1,27,3,No
53,Male,Married,HR,Executive,3,11514,24,6,2,2,4,5,3,13,No,2,36,19,2,3,3,12,4,No
21,Male,Single,Finance,Executive,4,12095,24,23,7,1,3,4,4,28,Yes,3,49,19,3,1,2,13,4,No
51,Female,Single,Sales,Analyst,4,17287,74,12,4,8,1,1,4,73,No,9,50,8,3,2,4,8,3,No
42,Male,Married,HR,Analyst,1,8911,65,4,11,8,2,4,1,49,No,4,50,7,2,3,3,16,1,No
41,Male,Single,IT,Assistant,1,14695,35,28,13,0,3,5,4,4,No,9,50,14,3,4,1,29,1,No
44,Male,Married,HR,Executive,2,6340,22,13,2,5,2,3,3,71,No,3,47,1,3,4,3,35,2,Yes
41,Female,Divorced,Marketing,Analyst,1,10876,79,17,13,9,1,4,1,68,Yes,1,50,0,4,4,4,29,1,Yes
41,Male,Divorced,Finance,Executive,2,18896,92,27,7,7,2,5,1,87,Yes,5,48,8,4,2,1,31,2,No
25,Female,Divorced,Finance,Analyst,5,15435,99,8,13,2,4,5,3,56,Yes,2,33,8,1,3,2,13,4,No
34,Female,Married,HR,Manager,2,4141,44,26,5,8,4,1,1,25,Yes,4,42,12,1,4,4,12,4,No
56,Male,Divorced,Sales,Manager,1,12281,99,20,1,1,2,2,2,5,Yes,2,47,7,1,2,4,2,4,No
52,Male,Single,IT,Executive,5,5038,63,3,5,5,4,4,2,15,No,2,49,4,4,4,1,33,2,No
27,Male,Divorced,Finance,Assistant,1,7270,23,12,12,0,1,4,1,59,Yes,3,58,2,1,3,4,8,3,No
24,Female,Divorced,Marketing,Analyst,2,13046,31,7,12,6,4,4,4,99,Yes,5,54,3,1,3,3,41,3,No
58,Male,Divorced,Marketing,Analyst,3,7683,83,12,3,2,2,5,2,11,No,4,53,16,4,3,2,40,4,Yes
23,Male,Single,Sales,Manager,4,19878,72,2,7,6,2,1,1,74,No,2,42,15,2,3,3,49,2,No
25,Male,Married,Finance,Manager,1,10116,71,24,6,3,2,5,2,2,No,2,59,15,4,3,1,41,2,No
51,Male,Single,HR,Assistant,2,4784,76,14,8,8,3,5,4,62,Yes,6,56,19,2,4,4,32,4,Yes
49,Male,Married,Marketing,Assistant,5,6786,66,22,13,4,2,3,3,63,No,7,57,2,4,3,2,38,1,No
54,Female,Married,Sales,Assistant,1,12190,75,23,5,2,1,1,1,61,No,6,48,5,1,4,1,28,4,No
59,Female,Divorced,Finance,Executive,1,8428,54,5,2,7,4,4,1,5,No,7,46,0,3,3,3,15,2,No
35,Male,Married,Finance,Manager,4,9681,52,9,9,5,4,2,1,18,Yes,1,30,15,3,4,4,23,1,No
32,Male,Single,Finance,Executive,2,9893,57,21,14,1,3,4,1,17,No,6,35,14,2,3,4,24,3,Yes
49,Male,Single,Finance,Manager,3,15661,77,11,11,2,3,5,1,79,No,3,48,6,2,4,1,13,1,Yes
38,Male,Married,Finance,Manager,5,17892,33,5,8,7,1,1,1,86,Yes,1,49,1,2,3,3,21,3,No
36,Female,Divorced,Marketing,Analyst,2,12643,64,3,6,9,2,1,4,42,No,8,30,9,3,2,4,12,2,No
38,Male,Divorced,Sales,Manager,5,12943,47,27,13,6,3,1,3,72,Yes,4,37,14,2,4,3,13,4,No
47,Female,Single,Finance,Manager,1,13472,27,17,10,9,4,3,4,2,Yes,8,46,5,4,2,2,39,4,No
45,Female,Divorced,IT,Executive,4,15992,92,2,7,5,3,4,4,71,No,4,50,1,4,4,4,23,4,No
56,Male,Married,IT,Manager,4,14126,76,24,9,0,3,3,3,37,Yes,4,51,16,3,4,2,46,4,Yes
45,Female,Married,Sales,Executive,3,9869,57,1,7,8,2,2,4,67,No,4,44,0,4,4,4,43,4,No
42,Female,Single,HR,Assistant,4,10669,63,7,3,2,3,5,2,75,No,6,47,0,2,1,1,28,2,No
28,Female,Married,HR,Manager,1,14538,50,14,6,4,1,3,4,43,No,9,36,3,3,3,4,14,2,No
31,Female,Single,HR,Manager,3,13065,24,5,11,6,4,3,1,94,No,5,45,19,2,2,4,17,4,Yes
20,Male,Married,IT,Executive,2,13171,20,19,13,6,2,5,2,88,Yes,8,36,15,4,2,3,24,1,No
20,Male,Single,HR,Assistant,4,5962,71,28,11,2,4,1,2,79,No,8,46,7,2,4,3,34,4,Yes
53,Female,Divorced,Marketing,Analyst,3,16851,15,28,7,3,1,5,3,62,No,4,33,0,3,2,2,48,3,No
51,Male,Married,Finance,Assistant,1,15979,85,11,2,9,1,4,4,41,No,9,41,18,2,2,2,22,3,No
44,Male,Married,IT,Executive,5,8296,72,23,3,6,3,5,4,63,Yes,9,42,10,4,2,2,10,3,Yes
59,Male,Single,Sales,Assistant,5,17745,35,25,4,7,3,1,2,53,Yes,5,33,16,1,2,4,8,3,No
20,Male,Single,Sales,Executive,1,8730,94,2,10,1,3,5,4,77,No,6,50,9,3,1,4,21,4,No
35,Male,Married,Finance,Executive,1,16921,70,8,6,8,4,3,4,76,Yes,5,30,11,2,4,2,37,3,No
58,Female,Single,IT,Analyst,5,3126,34,9,1,6,1,2,3,70,Yes,3,30,8,3,2,1,7,1,No
24,Male,Married,HR,Manager,3,8602,68,27,9,7,2,3,2,75,No,8,36,6,2,1,1,26,4,No
41,Male,Divorced,HR,Executive,5,15581,39,3,5,5,3,2,1,36,No,9,38,11,1,1,4,13,3,No
48,Male,Single,Marketing,Executive,1,18997,42,2,13,5,4,5,2,3,No,4,30,14,4,4,1,16,4,Yes
22,Male,Married,Marketing,Analyst,4,12211,19,7,12,8,3,4,3,1,No,9,45,7,2,3,1,30,4,No
31,Female,Divorced,HR,Executive,2,17997,35,5,14,3,1,5,3,98,No,9,47,16,2,3,2,31,4,Yes
45,Female,Divorced,Sales,Manager,4,9671,32,21,7,4,2,1,3,43,Yes,7,51,4,1,3,1,5,2,No
35,Female,Married,Sales,Analyst,4,15271,61,26,9,8,1,5,4,66,No,8,44,13,3,2,1,32,3,No
56,Female,Single,Marketing,Manager,1,11876,84,5,9,0,4,2,2,67,No,3,35,1,4,4,4,16,2,Yes
41,Male,Married,Finance,Manager,5,5887,71,20,1,3,3,3,4,75,No,5,31,15,2,3,4,47,1,Yes
48,Female,Divorced,HR,Analyst,3,12654,33,13,1,6,1,4,4,82,No,3,38,16,2,2,4,9,1,No
33,Male,Married,Marketing,Executive,4,7086,79,21,3,8,4,5,2,73,No,7,33,2,4,4,1,22,2,No
47,Male,Single,Marketing,Manager,5,7180,17,29,6,9,3,5,3,61,Yes,6,42,0,1,2,2,44,3,No
24,Male,Divorced,HR,Manager,3,5841,56,20,2,5,2,3,1,0,No,3,52,17,3,3,3,40,4,No
49,Male,Married,HR,Manager,4,9040,35,29,10,7,1,4,1,16,Yes,9,51,17,4,3,4,45,1,No
24,Male,Single,Sales,Manager,3,13304,54,6,12,8,3,5,2,15,No,1,40,3,3,1,4,37,1,No
31,Female,Divorced,Finance,Analyst,5,7758,81,20,11,9,3,5,2,8,No,3,42,14,1,1,4,14,1,No
35,Female,Single,Finance,Analyst,2,19234,39,18,1,3,3,2,3,52,No,7,40,18,1,4,2,16,3,No
45,Female,Divorced,HR,Assistant,5,8014,69,25,1,0,3,2,2,72,Yes,3,48,18,4,2,3,43,2,Yes
45,Female,Married,IT,Assistant,1,4375,98,2,13,7,1,1,2,58,No,3,37,9,2,2,3,20,2,No
40,Male,Single,Marketing,Manager,3,4181,66,25,5,1,3,3,3,8,No,2,36,4,1,3,4,44,3,No
58,Female,Divorced,Marketing,Executive,2,3490,58,26,4,0,4,4,3,11,No,9,54,18,1,3,1,15,1,Yes
55,Male,Single,HR,Manager,3,6729,99,6,1,6,1,5,4,40,No,4,45,10,4,4,4,44,3,Yes
52,Female,Single,IT,Executive,3,8974,70,9,4,9,3,5,2,14,No,6,32,6,4,1,4,26,3,No
49,Male,Married,Sales,Manager,4,4882,69,25,3,8,1,1,1,65,No,2,46,4,4,3,1,9,2,No
56,Male,Single,HR,Assistant,1,5987,84,3,2,8,4,5,2,74,No,9,47,19,1,2,1,1,3,Yes
42,Female,Divorced,HR,Assistant,3,8585,91,1,9,2,4,3,1,10,Yes,7,57,11,3,3,4,35,3,Yes
29,Male,Divorced,Marketing,Executive,5,6159,87,1,14,5,1,1,1,7,No,5,56,18,1,1,2,44,1,Yes
24,Male,Divorced,HR,Manager,5,7530,95,19,11,6,3,3,1,54,No,7,44,14,4,2,2,20,4,No
55,Female,Divorced,HR,Executive,4,4073,80,5,1,9,3,1,4,95,No,4,57,11,2,1,1,45,1,No
53,Male,Married,HR,Assistant,1,16743,33,13,7,8,4,5,3,5,Yes,7,46,3,2,4,4,6,2,No
50,Female,Single,Marketing,Manager,1,5693,97,19,14,1,3,1,3,52,Yes,2,40,11,4,4,2,42,4,Yes
29,Female,Married,Sales,Manager,5,12562,21,12,13,7,4,2,4,19,No,7,34,17,2,1,4,10,1,No
38,Female,Single,Sales,Executive,2,7340,77,16,4,6,3,4,3,38,Yes,4,45,16,1,2,4,48,3,Yes
51,Male,Single,HR,Analyst,4,5156,56,25,5,3,4,5,4,98,No,4,44,18,3,1,4,33,3,No
20,Male,Single,Marketing,Executive,4,19184,56,25,10,1,2,4,2,71,No,1,39,15,1,3,2,16,4,No
24,Male,Married,Sales,Assistant,5,10966,73,19,5,7,3,5,4,33,Yes,3,43,10,4,3,3,36,4,No
23,Female,Single,Sales,Assistant,5,5580,34,3,1,4,3,4,3,56,No,5,31,1,1,1,4,6,3,No
35,Male,Married,Sales,Assistant,2,10257,87,12,6,5,3,2,3,18,Yes,5,45,15,2,3,2,19,2,Yes
43,Female,Divorced,Marketing,Assistant,2,5159,31,5,13,6,1,4,2,70,Yes,2,48,0,1,1,3,31,1,No
35,Female,Divorced,Marketing,Assistant,1,19172,41,2,9,9,3,1,4,30,Yes,4,37,16,3,3,1,2,3,No
21,Male,Single,HR,Analyst,4,16900,61,22,2,0,1,4,2,81,No,1,44,17,2,1,2,18,1,No
47,Female,Married,Finance,Manager,4,14440,16,7,7,7,1,5,1,39,No,9,39,12,3,3,3,42,1,No
51,Male,Divorced,Sales,Executive,5,17678,77,13,6,3,4,3,4,13,No,1,59,4,3,2,2,28,1,No
46,Male,Married,Finance,Executive,1,17436,76,25,5,8,1,4,2,99,No,6,34,5,3,2,3,4,1,No
39,Male,Married,Marketing,Assistant,4,15021,33,15,4,0,1,4,2,80,No,7,49,0,1,3,3,1,2,No
43,Male,Single,Marketing,Executive,1,9772,31,22,4,1,2,4,3,36,No,3,45,9,1,1,2,47,2,No
31,Male,Divorced,Marketing,Assistant,1,4627,83,3,6,5,3,5,4,43,No,1,50,4,1,3,1,42,2,No
54,Female,Single,Finance,Analyst,5,14664,53,28,4,9,1,4,1,8,Yes,7,55,0,1,4,4,16,3,Yes
52,Female,Single,Marketing,Analyst,1,11219,96,21,5,0,3,5,1,57,No,3,51,10,2,4,3,45,3,No
52,Female,Divorced,HR,Manager,2,12713,85,20,13,3,1,5,4,19,No,6,41,6,1,1,4,47,3,No
56,Male,Divorced,Marketing,Analyst,2,11488,95,5,6,7,4,3,4,91,No,6,52,17,2,3,1,2,2,No
31,Male,Married,IT,Analyst,3,5181,53,24,5,9,2,1,2,49,Yes,4,59,19,3,3,4,36,1,No
22,Male,Divorced,Finance,Manager,5,14594,50,8,7,4,1,5,3,19,Yes,6,42,9,2,2,4,1,2,Yes
20,Female,Married,IT,Executive,3,10164,54,22,9,8,3,2,3,35,Yes,4,38,14,4,1,2,39,3,No
52,Male,Married,Marketing,Assistant,2,3901,59,1,10,5,4,4,3,26,No,8,46,3,1,4,2,23,4,No
59,Female,Married,HR,Assistant,3,12290,18,8,7,0,3,2,4,71,Yes,9,49,15,4,4,1,26,3,No
29,Female,Divorced,Sales,Executive,5,5881,39,24,7,5,4,4,3,31,Yes,2,57,14,2,1,2,11,1,No
48,Male,Single,Marketing,Manager,5,16058,83,18,4,5,2,3,2,0,No,7,41,14,1,4,3,42,2,No
32,Male,Married,HR,Executive,1,8622,44,20,1,5,4,5,4,16,No,9,54,11,4,1,1,1,4,No
31,Female,Single,Finance,Analyst,4,4378,90,28,14,7,3,1,4,8,No,9,34,7,1,4,2,11,4,No
50,Male,Single,IT,Manager,1,8650,82,16,8,5,3,5,3,83,Yes,5,53,7,2,4,2,24,1,No
21,Female,Divorced,IT,Manager,5,15433,43,18,4,4,1,4,1,44,No,1,41,17,4,1,1,10,2,No
54,Male,Single,IT,Manager,2,12456,87,20,1,1,4,1,1,95,No,6,30,5,2,1,3,14,4,No
42,Male,Single,Finance,Assistant,2,10036,82,12,5,3,3,5,2,65,No,8,49,4,4,4,1,14,3,No
36,Female,Divorced,HR,Executive,1,9487,65,13,14,9,1,1,3,31,No,1,57,1,3,4,2,7,1,No
45,Male,Married,Finance,Manager,5,7248,38,13,14,4,2,4,3,44,No,2,45,11,3,2,2,23,4,Yes
27,Female,Single,IT,Manager,2,7603,28,10,8,9,3,3,4,8,No,1,59,3,3,3,1,43,1,No
48,Male,Divorced,Marketing,Manager,5,15632,83,7,4,3,1,3,4,29,Yes,5,41,12,3,1,3,22,2,No
45,Female,Single,Sales,Executive,2,3220,32,25,13,1,3,5,3,83,No,2,38,16,3,1,3,36,2,No
29,Female,Single,Finance,Assistant,5,17226,56,14,12,6,4,2,4,37,Yes,4,42,15,2,3,4,27,2,Yes
45,Male,Married,Finance,Analyst,3,7818,71,24,8,9,1,4,3,59,Yes,1,46,8,3,2,3,2,3,No
53,Female,Single,HR,Assistant,5,10349,97,16,8,9,4,5,2,0,No,7,46,0,2,4,1,39,4,No
26,Male,Divorced,HR,Manager,5,8618,26,15,3,1,2,5,4,4,Yes,8,33,14,3,4,3,46,2,No
23,Male,Single,Finance,Assistant,1,12856,96,12,9,0,4,3,3,62,Yes,5,43,11,1,2,3,19,3,No
30,Male,Married,IT,Assistant,3,7576,31,9,3,4,1,1,4,98,Yes,2,48,4,3,2,4,7,2,No
48,Female,Married,Sales,Analyst,4,18207,44,8,1,0,3,4,2,35,No,8,36,17,1,3,3,12,2,No
